latitude,longitude,floorSize,price,url
41.260147,-95.95885,1093,185000,https://www.zillow.com/homedetails/105-N-31st-Ave-APT-403-Omaha-NE-68131/91933857_zpid/
41.24711,-96.168945,2688,389000,https://www.zillow.com/homedetails/1256-Peterson-Dr-Omaha-NE-68130/75837342_zpid/
41.269848,-96.16107,7676,2399000,https://www.zillow.com/homedetails/15722-Burt-St-Omaha-NE-68118/75839708_zpid/
41.294968,-96.06963,2264,330000,https://www.zillow.com/homedetails/9834-Ruggles-St-Omaha-NE-68134/75761320_zpid/
41.40324,-96.04449,3172,699999,https://www.zillow.com/homedetails/1255-Kameo-Dr-Omaha-NE-68122/6666237_zpid/
41.247643,-96.014114,1907,292000,https://www.zillow.com/homedetails/6475-Pierce-St-Omaha-NE-68106/75827222_zpid/
41.246483,-96.22897,6101,824900,https://www.zillow.com/homedetails/1219-S-200th-Ave-Omaha-NE-68130/118782487_zpid/
41.283863,-96.1921,3172,545000,https://www.zillow.com/homedetails/17704-Corby-St-Omaha-NE-68116/123426679_zpid/
41.257538,-96.25571,4506,785000,https://www.zillow.com/homedetails/280-Skyline-Dr-Elkhorn-NE-68022/118824408_zpid/
41.33522,-96.03269,3238,425000,https://www.zillow.com/homedetails/8333-N-78th-St-Omaha-NE-68122/121788770_zpid/
41.18582,-96.119965,1544,315000,https://www.zillow.com/homedetails/13202-Lillian-St-Omaha-NE-68138/6658058_zpid/
41.233913,-95.93614,1230,159900,https://www.zillow.com/homedetails/2630-S-15th-St-Omaha-NE-68108/75889771_zpid/
41.190414,-96.16315,2110,375000,https://www.zillow.com/homedetails/6911-S-159th-Cir-Omaha-NE-68136/58588779_zpid/
41.349346,-96.012245,2348,650000,https://www.zillow.com/homedetails/6501-Rainwood-Rd-Omaha-NE-68152/75863416_zpid/
41.272285,-96.15352,2360,348000,https://www.zillow.com/homedetails/1405-N-154th-St-Omaha-NE-68154/75897189_zpid/
41.23388,-95.96292,3096,325000,https://www.zillow.com/homedetails/3402-Wright-St-Omaha-NE-68105/75811360_zpid/
41.304108,-96.239365,3279,439999,https://www.zillow.com/homedetails/4938-N-208th-St-Elkhorn-NE-68022/181123563_zpid/
41.295525,-96.2131,2922,535000,https://www.zillow.com/homedetails/4003-N-190th-St-Elkhorn-NE-68022/128544806_zpid/
41.259342,-95.927284,1084,355000,https://www.zillow.com/homedetails/105-S-9th-St-APT-306-Omaha-NE-68102/118855460_zpid/
